series_id,obs_date,value
portwatch.hormuz.n_tanker,2021-06-11,60.0
portwatch.hormuz.n_tanker,2021-06-12,48.0
portwatch.hormuz.n_tanker,2021-06-13,60.0
portwatch.hormuz.n_tanker,2021-06-14,48.0
portwatch.hormuz.n_tanker,2021-06-15,49.0
portwatch.hormuz.n_tanker,2021-06-16,63.0
portwatch.hormuz.n_tanker,2021-06-17,59.0
portwatch.hormuz.n_tanker,2021-06-18,68.0
portwatch.hormuz.n_tanker,2021-06-19,51.0
portwatch.hormuz.n_tanker,2021-06-20,52.0
portwatch.hormuz.n_tanker,2021-06-21,61.0
portwatch.hormuz.n_tanker,2021-06-22,65.0
portwatch.hormuz.n_tanker,2021-06-23,56.0
portwatch.hormuz.n_tanker,2021-06-24,50.0
portwatch.hormuz.n_tanker,2021-06-25,69.0
portwatch.hormuz.n_tanker,2021-06-26,50.0
portwatch.hormuz.n_tanker,2021-06-27,45.0
portwatch.hormuz.n_tanker,2021-06-28,64.0
portwatch.hormuz.n_tanker,2021-06-29,53.0
portwatch.hormuz.n_tanker,2021-06-30,56.0
portwatch.hormuz.n_tanker,2021-07-01,58.0
portwatch.hormuz.n_tanker,2021-07-02,61.0
portwatch.hormuz.n_tanker,2021-07-03,51.0
portwatch.hormuz.n_tanker,2021-07-04,50.0
portwatch.hormuz.n_tanker,2021-07-05,51.0
portwatch.hormuz.n_tanker,2021-07-06,47.0
portwatch.hormuz.n_tanker,2021-07-07,65.0
portwatch.hormuz.n_tanker,2021-07-08,48.0
portwatch.hormuz.n_tanker,2021-07-09,54.0
portwatch.hormuz.n_tanker,2021-07-10,55.0
portwatch.hormuz.n_tanker,2021-07-11,56.0
portwatch.hormuz.n_tanker,2021-07-12,58.0
portwatch.hormuz.n_tanker,2021-07-13,44.0
portwatch.hormuz.n_tanker,2021-07-14,62.0
portwatch.hormuz.n_tanker,2021-07-15,44.0
portwatch.hormuz.n_tanker,2021-07-16,51.0
portwatch.hormuz.n_tanker,2021-07-17,53.0
portwatch.hormuz.n_tanker,2021-07-18,51.0
portwatch.hormuz.n_tanker,2021-07-19,58.0
portwatch.hormuz.n_tanker,2021-07-20,60.0
portwatch.hormuz.n_tanker,2021-07-21,58.0
portwatch.hormuz.n_tanker,2021-07-22,55.0
portwatch.hormuz.n_tanker,2021-07-23,65.0
portwatch.hormuz.n_tanker,2021-07-24,38.0
portwatch.hormuz.n_tanker,2021-07-25,53.0
portwatch.hormuz.n_tanker,2021-07-26,61.0
portwatch.hormuz.n_tanker,2021-07-27,61.0
portwatch.hormuz.n_tanker,2021-07-28,68.0
portwatch.hormuz.n_tanker,2021-07-29,48.0
portwatch.hormuz.n_tanker,2021-07-30,51.0
portwatch.hormuz.n_tanker,2021-07-31,58.0
portwatch.hormuz.n_tanker,2021-08-01,49.0
portwatch.hormuz.n_tanker,2021-08-02,57.0
portwatch.hormuz.n_tanker,2021-08-03,52.0
portwatch.hormuz.n_tanker,2021-08-04,63.0
portwatch.hormuz.n_tanker,2021-08-05,55.0
portwatch.hormuz.n_tanker,2021-08-06,60.0
portwatch.hormuz.n_tanker,2021-08-07,53.0
portwatch.hormuz.n_tanker,2021-08-08,57.0
portwatch.hormuz.n_tanker,2021-08-09,53.0
portwatch.hormuz.n_tanker,2021-08-10,52.0
portwatch.hormuz.n_tanker,2021-08-11,38.0
portwatch.hormuz.n_tanker,2021-08-12,47.0
portwatch.hormuz.n_tanker,2021-08-13,55.0
portwatch.hormuz.n_tanker,2021-08-14,53.0
portwatch.hormuz.n_tanker,2021-08-15,52.0
portwatch.hormuz.n_tanker,2021-08-16,40.0
portwatch.hormuz.n_tanker,2021-08-17,42.0
portwatch.hormuz.n_tanker,2021-08-18,39.0
portwatch.hormuz.n_tanker,2021-08-19,42.0
portwatch.hormuz.n_tanker,2021-08-20,49.0
portwatch.hormuz.n_tanker,2021-08-21,62.0
portwatch.hormuz.n_tanker,2021-08-22,42.0
portwatch.hormuz.n_tanker,2021-08-23,53.0
portwatch.hormuz.n_tanker,2021-08-24,46.0
portwatch.hormuz.n_tanker,2021-08-25,41.0
portwatch.hormuz.n_tanker,2021-08-26,61.0
portwatch.hormuz.n_tanker,2021-08-27,58.0
portwatch.hormuz.n_tanker,2021-08-28,54.0
portwatch.hormuz.n_tanker,2021-08-29,47.0
portwatch.hormuz.n_tanker,2021-08-30,50.0
portwatch.hormuz.n_tanker,2021-08-31,61.0
portwatch.hormuz.n_tanker,2021-09-01,48.0
portwatch.hormuz.n_tanker,2021-09-02,58.0
portwatch.hormuz.n_tanker,2021-09-03,50.0
portwatch.hormuz.n_tanker,2021-09-04,50.0
portwatch.hormuz.n_tanker,2021-09-05,51.0
portwatch.hormuz.n_tanker,2021-09-06,44.0
portwatch.hormuz.n_tanker,2021-09-07,44.0
portwatch.hormuz.n_tanker,2021-09-08,55.0
portwatch.hormuz.n_tanker,2021-09-09,59.0
