source,source_id,event_date,inside_big_move,episode_id,monthly_move_pct,wti_chg_3m_pct
ICB v16,crisno 238,1970-09-15,False,,,7.55
ICB v16,crisno 239,1970-09-16,False,,,7.55
Dyadic MID 4.03,disno 2221,1970-10-21,False,,,7.55
Dyadic MID 4.03,disno 1158,1971-01-11,False,,,0.0
ICB v16,crisno 242,1971-03-25,False,,,0.0
Dyadic MID 4.03,disno 1447,1971-04-07,False,,,0.0
Dyadic MID 4.03,disno 2110,1971-04-14,False,,,0.0
ICB v16,crisno 243,1971-05-24,False,,,0.0
COW War v4.1 intra-state,WarNum 785,1971-07-03,False,,,0.0
Dyadic MID 4.03,disno 1081,1971-07-20,False,,,0.0
Dyadic MID 4.03,disno 1046,1971-10-18,False,,,0.0
Dyadic MID 4.03,disno 1135,1971-11-28,False,,,0.0
COW War v4.0 inter-state,WarNum 178,1971-12-03,False,,,0.0
Dyadic MID 4.03,disno 2949,1972-01-17,False,,,0.0
ICB v16,crisno 246,1972-03-28,False,,,0.0
Dyadic MID 4.03,disno 2638,1972-05-05,False,,,0.0
Dyadic MID 4.03,disno 2948,1972-08-22,False,,,0.0
Dyadic MID 4.03,disno 2138,1972-09-20,False,,,0.0
ICB v16,crisno 248,1972-09-26,False,,,0.0
ICB v16,crisno 249,1972-10-23,False,,,0.0
Dyadic MID 4.03,disno 602,1972-11-12,False,,,0.0
Dyadic MID 4.03,disno 1612,1972-12-21,True,wti_1973-01-01,184.0,0.0
Dyadic MID 4.03,disno 2112,1973-01-02,True,wti_1973-01-01,184.0,0.0
Dyadic MID 4.03,disno 1200,1973-02-10,True,wti_1973-01-01,184.0,0.0
Dyadic MID 4.03,disno 1043,1973-02-21,True,wti_1973-01-01,184.0,0.0
ICB v16,crisno 251,1973-02-21,True,wti_1973-01-01,184.0,0.0
ICB v16,crisno 252,1973-03-20,True,wti_1973-01-01,184.0,0.0
Dyadic MID 4.03,disno 2950,1973-03-21,True,wti_1973-01-01,184.0,0.0
ICB v16,crisno 253,1973-04-10,True,wti_1973-01-01,184.0,0.0
ICB v16,crisno 254,1973-05-14,True,wti_1973-01-01,184.0,21.07
COW War v4.1 intra-state,WarNum 795,1973-10-01,True,wti_1973-01-01,184.0,134.57
ICB v16,crisno 255,1973-10-05,True,wti_1973-01-01,184.0,134.57
COW War v4.0 inter-state,WarNum 181,1973-10-06,True,wti_1973-01-01,184.0,134.57
Dyadic MID 4.03,disno 3380,1973-10-25,True,wti_1973-01-01,184.0,134.57
Dyadic MID 4.03,disno 3437,1973-11-07,True,wti_1973-01-01,184.0,134.57
ICB v16,crisno 256,1973-11-18,True,wti_1973-01-01,184.0,134.57
Dyadic MID 4.03,disno 364,1974-03-14,False,,,0.0
COW War v4.1 intra-state,WarNum 797,1974-03-18,False,,,0.0
Dyadic MID 4.03,disno 1061,1974-04-12,False,,,0.0
