event_date,actors,source,source_id,source_detail,suggested_title
1968-04-09,ccode 265; ccode 290; ccode 310; ccode 315; ccode 355; USSR/Russia,ICB v16,crisno 227,PRAGUE SPRING; 1968-04-09..1968-10-18; viol 2; forout 5,
1968-05-04,Brazil; USSR/Russia,Dyadic MID 4.03,disno 2923,"hihost 4 (use of force); dyads BRA-RUS, RUS-BRA; 1968-05-04..1968-05-18",
1968-05-12,Lebanon; Israel,Dyadic MID 4.03,disno 1051,"hihost 4 (use of force); dyads ISR-LEB, LEB-ISR; 1968-05-12..1968-06-15",
1968-06-17,Venezuela; USSR/Russia,Dyadic MID 4.03,disno 2922,"hihost 4 (use of force); dyads RUS-VEN, VEN-RUS; 1968-06-17..1968-06-17",
1968-06-22,Argentina; USSR/Russia,Dyadic MID 4.03,disno 2927,"hihost 4 (use of force); dyads ARG-RUS, RUS-ARG; 1968-06-22..1968-06-22",
1968-06-28,United Kingdom; China,Dyadic MID 4.03,disno 2926,"hihost 4 (use of force); dyads CHN-UKG, UKG-CHN; 1968-06-28..1968-11-17",
1968-07-23,Algeria; Israel,Dyadic MID 4.03,disno 1069,"hihost 4 (use of force); dyads ALG-ISR, ISR-ALG; 1968-07-23..1968-09-01",
1968-09-03,Syria; Israel,Dyadic MID 4.03,disno 3447,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1968-09-03..1971-10-17",
1968-09-28,USSR/Russia; Japan,Dyadic MID 4.03,disno 2925,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1968-09-28..1968-11-08",
1968-12-28,Lebanon,ICB v16,crisno 229,BEIRUT AIRPORT; 1968-12-28..1969-01-01; viol 2; forout 6,
1969-01-01,China; ccode 775,Dyadic MID 4.03,disno 352,"hihost 4 (use of force); dyads CHN-MYA, MYA-CHN; 1969-01-01..1969-11-07",
1969-01-03,Iraq; Iraq vs Kurds,COW War v4.1 intra-state,WarNum 777,Third Iraqi Kurds; 1969-01-03..1970-03-11,
1969-02-14,United States; ccode 135,Dyadic MID 4.03,disno 350,"hihost 4 (use of force); dyads PER-USA, USA-PER; 1969-02-14..1969-05-17",
1969-02-22,United States; ccode 817,ICB v16,crisno 230,VIETNAM SPRING OFF.; 1969-02-22..1969-06-08; viol 3; forout 4,
1969-03-01,India; ccode 770,Dyadic MID 4.03,disno 2633,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1969-03-01..1969-03-28",
1969-03-02,USSR/Russia; China,Dyadic MID 4.03,disno 349,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1969-03-02..1969-10-20",
1969-03-02,USSR/Russia; China,ICB v16,crisno 231,USSURI RIVER; 1969-03-02..1969-10-20; viol 3; forout 2,
1969-03-06,Egypt (side 2); Israel (side 1),COW War v4.0 inter-state,WarNum 172,War of Attrition; 2 participants; battle deaths 5368,
1969-03-08,USSR/Russia; Egypt; Israel,ICB v16,crisno 232,WAR OF ATTRITION; 1969-03-08..1970-08-07; viol 4; forout 1,
1969-04-06,Iran; Iraq,Dyadic MID 4.03,disno 1136,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1969-04-06..1969-06-13",
1969-04-15,United States,ICB v16,crisno 233,EC-121 SPY PLANE; 1969-04-15..1969-04-26; viol 2; forout 4,
1969-04-15,Iran; Iraq,ICB v16,crisno 234,SHATT-AL-ARAB II; 1969-04-15..1969-10-28; viol 1; forout 2,
1969-05-01,Syria; Lebanon,Dyadic MID 4.03,disno 3173,"hihost 4 (use of force); dyads LEB-SYR, SYR-LEB; 1969-05-01..1969-11-13",
1969-08-09,USSR/Russia; Japan,Dyadic MID 4.03,disno 2937,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1969-08-09..1969-09-03",
1969-08-12,India; ccode 770,Dyadic MID 4.03,disno 2634,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1969-08-12..1970-03-17",
1969-09-14,Iran; Iraq,Dyadic MID 4.03,disno 2108,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1969-09-14..1969-09-14",
1969-09-19,United States; China,Dyadic MID 4.03,disno 2936,"hihost 4 (use of force); dyads CHN-USA, USA-CHN; 1969-09-19..1969-10-04",
1969-10-22,Lebanon,ICB v16,crisno 236,CAIRO AGREEMENT-PLO; 1969-10-22..1969-11-03; viol 3; forout 5,
1969-11-05,Saudi Arabia; Yemen Arab Republic,Dyadic MID 4.03,disno 2373,"hihost 4 (use of force); dyads SAU-YAR, YAR-SAU; 1969-11-05..1970-01-13",
1969-12-20,India; ccode 770,Dyadic MID 4.03,disno 2635,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1969-12-20..1969-12-21",
1970-01-20,Iran; Iraq,Dyadic MID 4.03,disno 2109,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1970-01-20..1970-02-05",
1970-02-01,India; India vs Naxalite Marxists,COW War v4.1 intra-state,WarNum 778,Naxalite Rebellion; 1970-02-01..1971-11-01,
1970-03-13,United States; ccode 811; ccode 816; ccode 817,ICB v16,crisno 237,INVASION OF CAMBODIA; 1970-03-13..1970-07-22; viol 4; forout 4,
1970-03-23,ccode 816 (side 1); United States (side 2); ccode 811 (side 2); ccode 817 (side 2),COW War v4.0 inter-state,WarNum 176,Communist Coalition; 4 participants; battle deaths 6525,
1970-06-11,United States; United Kingdom; USSR/Russia; Iraq; Syria; Jordan; Israel,Dyadic MID 4.03,disno 1039,"hihost 4 (use of force); dyads IRQ-JOR, IRQ-USA, ISR-SYR, JOR-IRQ, JOR-SYR, RUS-UKG, RUS-USA, SYR-ISR, SYR-JOR, SYR-USA, UKG-RUS, USA-IRQ, USA-RUS, USA-SYR; 1970-06-11..1970-09-26",
1970-08-08,Egypt; Israel,Dyadic MID 4.03,disno 3387,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1970-08-08..1971-10-17",
1970-08-15,Algeria; Israel,Dyadic MID 4.03,disno 1068,"hihost 4 (use of force); dyads ALG-ISR, ISR-ALG; 1970-08-15..1970-10-14",
1970-09-13,Syria; Jordan; -8 vs Syria | Jordan vs Palestinians,COW War v4.1 intra-state,WarNum 780,Black September; 1970-09-13..1970-09-24,
1970-09-15,United States; Syria; Jordan; Israel,ICB v16,crisno 238,BLACK SEPTEMBER; 1970-09-15..1970-09-28; viol 4; forout 5,
1970-09-16,United States,ICB v16,crisno 239,CIENFUEGOS SUB. BASE; 1970-09-16..1970-10-23; viol 1; forout 4,
1970-10-21,United States; USSR/Russia,Dyadic MID 4.03,disno 2221,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1970-10-21..1970-11-10",
1971-01-11,United States; Ecuador,Dyadic MID 4.03,disno 1158,"hihost 4 (use of force); dyads ECU-USA, USA-ECU; 1971-01-11..1971-01-16",
1971-03-25,India; ccode 770; ccode 771,ICB v16,crisno 242,BANGLADESH; 1971-03-25..1971-12-17; viol 4; forout 5,
1971-04-07,India; ccode 770,Dyadic MID 4.03,disno 1447,"hihost 5 (war); dyads IND-PAK, PAK-IND; 1971-04-07..1971-12-16",
1971-04-14,Iran; Iraq,Dyadic MID 4.03,disno 2110,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1971-04-14..1971-05-28",
1971-05-24,ccode 483; Libya,ICB v16,crisno 243,CHAD/LIBYA I; 1971-05-24..1972-04-17; viol 1; forout 4,
1971-07-03,United States; ccode 811; Cambodia vs Khmer Rouge | United States of America vs -8,COW War v4.1 intra-state,WarNum 785,Khmer Rouge; 1971-07-03..1975-04-17,
1971-07-20,Syria; Jordan,Dyadic MID 4.03,disno 1081,"hihost 4 (use of force); dyads JOR-SYR, SYR-JOR; 1971-07-20..1971-08-13",
1971-10-18,Iraq; Egypt; Syria; Jordan; Israel; Saudi Arabia,Dyadic MID 4.03,disno 1046,"hihost 5 (war); dyads EGY-ISR, IRQ-ISR, ISR-EGY, ISR-IRQ, ISR-JOR, ISR-SAU, ISR-SYR, JOR-ISR, SAU-ISR, SYR-ISR; 1971-10-18..1973-10-24",
1971-11-28,Iran; Iraq,Dyadic MID 4.03,disno 1135,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1971-11-28..1972-06-03",
1971-12-03,India (side 1); ccode 770 (side 2),COW War v4.0 inter-state,WarNum 178,Bangladesh; 2 participants; battle deaths 11223,
1972-01-17,United States; USSR/Russia,Dyadic MID 4.03,disno 2949,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1972-01-17..1972-01-22",
1972-03-28,United States; ccode 816; ccode 817,ICB v16,crisno 246,VIETNAM PORTS MINING; 1972-03-28..1972-07-19; viol 4; forout 2,
1972-05-05,India; ccode 770,Dyadic MID 4.03,disno 2638,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1972-05-05..1972-05-05",
1972-08-22,United States; China,Dyadic MID 4.03,disno 2948,"hihost 4 (use of force); dyads CHN-USA, USA-CHN; 1972-08-22..1972-08-22",
1972-09-20,Libya; ccode 625,Dyadic MID 4.03,disno 2138,"hihost 4 (use of force); dyads LIB-SUD, SUD-LIB; 1972-09-20..1972-09-22",
1972-09-26,Yemen Arab Republic; Yemen People's Republic,ICB v16,crisno 248,NORTH/SOUTH YEMEN I; 1972-09-26..1972-11-28; viol 4; forout 1,
1972-10-23,United States; ccode 816; ccode 817,ICB v16,crisno 249,CHRISTMAS BOMBING; 1972-10-23..1973-01-27; viol 4; forout 1,
1972-11-12,United States; Ecuador,Dyadic MID 4.03,disno 602,"hihost 4 (use of force); dyads ECU-USA, USA-ECU; 1972-11-12..1972-11-22",
1972-12-21,Iraq; Saudi Arabia; Kuwait,Dyadic MID 4.03,disno 1612,"hihost 4 (use of force); dyads IRQ-KUW, IRQ-SAU, KUW-IRQ, SAU-IRQ; 1972-12-21..1973-04-08",
1973-01-02,Iran; Iraq,Dyadic MID 4.03,disno 2112,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1973-01-02..1975-03-13",
1973-02-10,Iraq; ccode 770,Dyadic MID 4.03,disno 1200,"hihost 4 (use of force); dyads IRQ-PAK, PAK-IRQ; 1973-02-10..1973-02-10",
1973-02-21,Libya; Israel,Dyadic MID 4.03,disno 1043,"hihost 4 (use of force); dyads ISR-LIB, LIB-ISR; 1973-02-21..1973-02-21",
1973-02-21,Israel,ICB v16,crisno 251,LIBYAN PLANE; 1973-02-21..1973-02-21; viol 3; forout 4,
1973-03-20,Kuwait,ICB v16,crisno 252,IRAQ INVASION/KUWAIT; 1973-03-20..1973-06-08; viol 2; forout 1,
1973-03-21,United States; Libya,Dyadic MID 4.03,disno 2950,"hihost 4 (use of force); dyads LIB-USA, USA-LIB; 1973-03-21..1973-03-21",
1973-04-10,Israel,ICB v16,crisno 253,ISRAEL MOBILIZATION; 1973-04-10..1973-06-28; viol 1; forout 4,
1973-05-14,United Kingdom; ccode 395,ICB v16,crisno 254,COD WAR I; 1973-05-14..1973-11-13; viol 2; forout 1,
1973-10-01,United Kingdom; Iran; Oman; Iran vs -8 | Oman vs PFLOAG | United Kingdom vs -8,COW War v4.1 intra-state,WarNum 795,Dhofar Rebellion Phase 2; 1973-10-01..1975-12-11,
1973-10-05,United States; USSR/Russia; Egypt; Syria; Israel,ICB v16,crisno 255,OCTOBER-YOM KIPPUR WAR; 1973-10-05..1974-05-28; viol 4; forout 1,
1973-10-06,Egypt (side 2); Saudi Arabia (side 2); Israel (side 1); Jordan (side 2); Syria (side 2); Iraq (side 2),COW War v4.0 inter-state,WarNum 181,Yom Kippur War; 6 participants; battle deaths 14439,
1973-10-25,Egypt; Israel,Dyadic MID 4.03,disno 3380,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1973-10-25..1975-07-25",
1973-11-07,Syria; Israel,Dyadic MID 4.03,disno 3437,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1973-11-07..1974-05-28",
1973-11-18,Oman,ICB v16,crisno 256,OMAN/SOUTH YEMEN; 1973-11-18..1976-03-11; viol 3; forout 1,
1974-03-14,USSR/Russia; China,Dyadic MID 4.03,disno 364,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1974-03-14..1974-09-14",
1974-03-18,Iran; Iraq; -8 vs Iran | Iraq vs Kurds,COW War v4.1 intra-state,WarNum 797,Fourth Iraqi Kurds; 1974-03-18..1975-04-03,
1974-04-12,Egypt; Lebanon; Israel,Dyadic MID 4.03,disno 1061,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY, ISR-LEB, LEB-ISR; 1974-04-12..1975-12-05",
1974-06-08,Syria; Israel,Dyadic MID 4.03,disno 3438,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1974-06-08..1975-10-20",
1974-07-15,ccode 350; ccode 352; Turkey,ICB v16,crisno 257,CYPRUS III; 1974-07-15..1975-02-24; viol 4; forout 4,
1974-07-20,Turkey (side 1); ccode 352 (side 2),COW War v4.0 inter-state,WarNum 184,Turco-Cypriot; 2 participants; battle deaths 1500,
1974-12-01,USSR/Russia; China,Dyadic MID 4.03,disno 2713,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1974-12-01..1974-12-28",
1975-01-28,ccode 40; Ethiopia; Cuba vs -8 | Ethiopia vs Eritrean Peo. Lib.,COW War v4.1 intra-state,WarNum 798,Eritrean War; 1975-01-28..1978-12-01,
1975-02-01,"Argentina; Argentina vs Montoneros, ERP",COW War v4.1 intra-state,WarNum 800,Argentine Leftists; 1975-02-01..1977-03-01,
1975-03-07,Iraq; Kuwait,Dyadic MID 4.03,disno 1613,"hihost 4 (use of force); dyads IRQ-KUW, KUW-IRQ; 1975-03-07..1975-06-05",
1975-04-13,Syria; Lebanon; Maronite militias vs Lebanese National Movement | Syria vs -8,COW War v4.1 intra-state,WarNum 801,Second Lebanese; 1975-04-13..1976-11-15,
1975-05-12,United States; ccode 811,ICB v16,crisno 259,MAYAGUEZ; 1975-05-12..1975-05-15; viol 3; forout 4,
1975-07-12,United States; ccode 40; USSR/Russia; ccode 490; Angola; ccode 551; ccode 560,ICB v16,crisno 260,WAR IN ANGOLA; 1975-07-12..1976-03-27; viol 4; forout 4,
1975-08-04,Libya; Egypt,Dyadic MID 4.03,disno 3175,"hihost 4 (use of force); dyads EGY-LIB, LIB-EGY; 1975-08-04..1975-10-12",
1975-10-16,ccode 230; ccode 435; ccode 600; Algeria,ICB v16,crisno 261,MOROCCAN MARCH; 1975-10-16..1976-04-14; viol 3; forout 6,
1975-10-20,China; India,Dyadic MID 4.03,disno 358,"hihost 4 (use of force); dyads CHN-IND, IND-CHN; 1975-10-20..1975-10-20",
1975-10-23,ccode 40 (side 1); ccode 560 (side 2); ccode 490 (side 2); Angola (side 1),COW War v4.0 inter-state,WarNum 186,War over Angola; 4 participants; battle deaths 2700,
1975-11-01,United Kingdom,ICB v16,crisno 262,BELIZE I; 1975-11-01..1975-11-28; viol 1; forout 2,
1975-11-11,ccode 490; Angola; ccode 560,Dyadic MID 4.03,disno 1441,"hihost 5 (war); dyads ANG-DRC, ANG-SAF, DRC-ANG, SAF-ANG; 1975-11-11..1988-08-28",
1975-11-23,United Kingdom; ccode 395,ICB v16,crisno 263,COD WAR II; 1975-11-23..1976-06-01; viol 2; forout 1,
1975-11-26,Syria; Israel,Dyadic MID 4.03,disno 3439,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1975-11-26..1977-09-23",
1975-11-28,Indonesia,ICB v16,crisno 264,EAST TIMOR I; 1975-11-28..1976-07-17; viol 3; forout 4,
1976-01-01,"Indonesia; Indonesia vs OPR, West Papua",COW War v4.1 intra-state,WarNum 802,Second West Papua; 1976-01-01..1978-04-14,
1976-01-18,Syria,ICB v16,crisno 265,LEB. CIVIL WAR; 1976-01-18..1976-11-15; viol 3; forout 4,
1976-02-04,Argentina; United Kingdom,Dyadic MID 4.03,disno 363,"hihost 4 (use of force); dyads ARG-UKG, UKG-ARG; 1976-02-04..1976-02-11",
1976-02-13,ccode 40; Angola; ccode 560; -8 vs South Africa | Angola vs UNITA | Cuba vs -8,COW War v4.1 intra-state,WarNum 804,Angolan Control; 1976-02-13..1991-05-15,
1976-04-05,United Kingdom; Syria,Dyadic MID 4.03,disno 3179,"hihost 4 (use of force); dyads SYR-UKG, UKG-SYR; 1976-04-05..1976-04-05",
1976-04-12,Israel; Saudi Arabia,Dyadic MID 4.03,disno 2961,"hihost 4 (use of force); dyads ISR-SAU, SAU-ISR; 1976-04-12..1976-04-13",
1976-06-09,Syria,ICB v16,crisno 269,IRAQI THREAT; 1976-06-09..1976-06-17; viol 1; forout 4,
1976-06-27,ccode 500; Israel,ICB v16,crisno 270,ENTEBBE RAID; 1976-06-27..1976-07-04; viol 2; forout 4,
1976-07-01,ccode 40; Somalia; Ethiopia; -8 vs Somalia | Cuba vs -8 | Ethiopia vs WSLF,COW War v4.1 intra-state,WarNum 805,Second Ogaden Phase 1; 1976-07-01..1977-07-22,
1976-07-18,Indonesia; Indonesia vs Fretilin,COW War v4.1 intra-state,WarNum 806,East Timorese War Phase 3; 1976-07-18..1979-05-26,
1976-08-01,China; South Korea,Dyadic MID 4.03,disno 2956,"hihost 4 (use of force); dyads CHN-ROK, ROK-CHN; 1976-08-01..1976-08-01",
1976-08-06,ccode 350; Turkey,ICB v16,crisno 272,AEGEAN SEA I; 1976-08-06..1976-09-25; viol 1; forout 4,
1976-08-17,United States; ccode 731,ICB v16,crisno 274,POPLAR TREE; 1976-08-17..1976-09-16; viol 2; forout 1,
1976-08-28,United States; Israel,Dyadic MID 4.03,disno 2335,"hihost 4 (use of force); dyads ISR-USA, USA-ISR; 1976-08-28..1976-09-06",
1976-09-06,USSR/Russia; Japan,Dyadic MID 4.03,disno 365,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1976-09-06..1976-11-28",
1976-11-21,Israel,ICB v16,crisno 275,SYRIA MOBILIZATION; 1976-11-21..1976-12-13; viol 1; forout 3,
1977-03-08,France; ccode 490; Angola; Egypt,Dyadic MID 4.03,disno 2150,"hihost 4 (use of force); dyads ANG-DRC, ANG-EGY, ANG-FRN, DRC-ANG, EGY-ANG, FRN-ANG; 1977-03-08..1977-05-26",
1977-03-08,ccode 490; Angola,ICB v16,crisno 277,SHABA I; 1977-03-08..1977-05-26; viol 3; forout 4,
1977-04-09,United States; USSR/Russia,Dyadic MID 4.03,disno 2222,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1977-04-09..1977-04-10",
1977-06-21,Ecuador; ccode 135,Dyadic MID 4.03,disno 2120,"hihost 4 (use of force); dyads ECU-PER, PER-ECU; 1977-06-21..1978-01-18",
1977-06-25,United Kingdom,ICB v16,crisno 279,BELIZE II; 1977-06-25..1977-07-28; viol 1; forout 2,
1977-07-04,USSR/Russia; China,Dyadic MID 4.03,disno 2714,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1977-07-04..1977-08-05",
1977-07-12,Libya; Egypt,Dyadic MID 4.03,disno 3126,"hihost 4 (use of force); dyads EGY-LIB, LIB-EGY; 1977-07-12..1977-09-10",
1977-07-14,Libya; Egypt,ICB v16,crisno 281,EGYPT/LIBYA CLASHES; 1977-07-14..1977-09-10; viol 3; forout 2,
1977-07-22,Somalia; Ethiopia,ICB v16,crisno 282,OGADEN II; 1977-07-22..1978-03-14; viol 4; forout 4,
1977-07-23,Ethiopia (side 1); ccode 40 (side 1); Somalia (side 2),COW War v4.0 inter-state,WarNum 187,"Second Ogaden War, Phase 2; 3 participants; battle deaths 10500",
1977-09-20,Lebanon; Israel,Dyadic MID 4.03,disno 3994,"hihost 4 (use of force); dyads ISR-LEB, LEB-ISR; 1977-09-20..1978-06-13",
1977-09-21,Argentina; USSR/Russia,Dyadic MID 4.03,disno 3122,"hihost 4 (use of force); dyads ARG-RUS, RUS-ARG; 1977-09-21..1977-10-01",
1977-10-25,France; Algeria,ICB v16,crisno 285,FRENCH HOSTAGES MAUR.; 1977-10-25..1977-12-23; viol 1; forout 6,
1977-11-12,South Korea; Japan,Dyadic MID 4.03,disno 2963,"hihost 4 (use of force); dyads JPN-ROK, ROK-JPN; 1977-11-12..1977-11-13",
1977-12-05,ccode 155; Argentina,ICB v16,crisno 287,BEAGLE CHANNEL I; 1977-12-05..1978-02-20; viol 1; forout 1,
1978-01-22,ccode 483; Libya,ICB v16,crisno 288,CHAD/LIBYA II; 1978-01-22..1978-03-27; viol 4; forout 1,
1978-02-01,Syria; Israel; -8 vs Syria | Israel vs -8 | Lebanese Forces vs PLO & Shiite militia,COW War v4.1 intra-state,WarNum 807,Third Lebanese; 1978-02-01..1978-10-04,
1978-03-10,"ccode 40; Somalia; Ethiopia; -8 vs Somalia | Cuba vs -8 | Ethiopia vs Ogaden, WSLF",COW War v4.1 intra-state,WarNum 808,Second Ogaden Phase 3; 1978-03-10..1980-12-03,
1978-03-11,USSR/Russia; China,Dyadic MID 4.03,disno 2715,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1978-03-11..1978-05-09",
1978-03-14,Lebanon,ICB v16,crisno 289,LITANI OPERATION; 1978-03-14..1978-06-13; viol 3; forout 4,
1978-04-15,France; Libya,Dyadic MID 4.03,disno 3631,"hihost 4 (use of force); dyads FRN-LIB, LIB-FRN; 1978-04-15..1980-03-08",
1978-04-15,France; ccode 483; Libya,ICB v16,crisno 290,CHAD/LIBYA III; 1978-04-15..1978-08-28; viol 4; forout 2,
1978-04-18,USSR/Russia; China; ccode 816,Dyadic MID 4.03,disno 3007,"hihost 5 (war); dyads CHN-DRV, CHN-RUS, DRV-CHN, RUS-CHN; 1978-04-18..1979-03-16",
1978-05-01,ccode 211; France; ccode 490; Belgium vs -8 | DRC vs FNLC | France vs -8,COW War v4.1 intra-state,WarNum 811,Fourth DRC (Shaba); 1978-05-01..1978-06-06,
1978-05-03,Angola; ccode 560,ICB v16,crisno 291,CASSINGA INCIDENT; 1978-05-03..1978-05-17; viol 3; forout 2,
1978-05-11,United States; ccode 211; France; ccode 490; Angola,ICB v16,crisno 292,SHABA II; 1978-05-11..1978-07-28; viol 3; forout 1,
1978-06-21,USSR/Russia; Iran,Dyadic MID 4.03,disno 2602,"hihost 4 (use of force); dyads IRN-RUS, RUS-IRN; 1978-06-21..1978-06-21",
1978-07-01,Syria; Israel,Dyadic MID 4.03,disno 3440,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1978-07-01..1978-07-11",
1978-09-01,USSR/Russia; ccode 700; Afghanistan vs Mujahideen | Russia vs -8,COW War v4.1 intra-state,WarNum 812,First Afghan Mujahideen Uprising; 1978-09-01..1980-02-21,
1978-09-03,Iran; Iran vs Anti-Shah Coalition,COW War v4.1 intra-state,WarNum 813,Overthrow of the Shah; 1978-09-03..1979-02-11,
1978-10-16,ccode 155; Argentina,ICB v16,crisno 295,BEAGLE CHANNEL II; 1978-10-16..1979-01-08; viol 2; forout 1,
1978-10-28,ccode 500 (side 2); ccode 510 (side 1); Libya (side 2),COW War v4.0 inter-state,WarNum 190,Ugandian-Tanzanian; 3 participants; battle deaths 3000,
1978-10-28,ccode 500; ccode 510; Libya,ICB v16,crisno 296,FALL OF AMIN; 1978-10-28..1979-04-10; viol 4; forout 4,
1978-11-07,Angola,ICB v16,crisno 297,ANGOLA INVASION SCARE; 1978-11-07..1978-11-14; viol 1; forout 4,
1978-12-25,China; ccode 816,ICB v16,crisno 298,SINO/VIETNAM WAR; 1978-12-25..1979-03-15; viol 4; forout 4,
1979-01-27,USSR/Russia; China,Dyadic MID 4.03,disno 2716,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1979-01-27..1980-02-14",
1979-02-12,Iran; Iran vs Anti-Khmoneini Coalition: Fedayeen Kalq & Kurds,COW War v4.1 intra-state,WarNum 816,Anti-Khomeini Coalition; 1979-02-12..1984-03-01,
1979-02-12,Angola; ccode 551; ccode 552,ICB v16,crisno 300,RAIDS ON ZIPRA; 1979-02-12..1979-05-28; viol 3; forout 4,
1979-02-17,China (side 1); ccode 816 (side 2),COW War v4.0 inter-state,WarNum 193,Sino-Vietnamese Punitive; 2 participants; battle deaths 21000,
1979-02-24,Yemen Arab Republic; Yemen People's Republic,ICB v16,crisno 301,NORTH/SOUTH YEMEN II; 1979-02-24..1979-03-28; viol 4; forout 1,
1979-02-27,Iran; Iraq,Dyadic MID 4.03,disno 2113,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1979-02-27..1979-06-19",
1979-03-06,Angola,ICB v16,crisno 302,RAIDS ON SWAPO; 1979-03-06..1979-03-28; viol 2; forout 6,
1979-03-18,Iran; ccode 700,Dyadic MID 4.03,disno 3025,"hihost 4 (use of force); dyads AFG-IRN, IRN-AFG; 1979-03-18..1979-06-26",
1979-03-26,USSR/Russia; ccode 700; ccode 770,Dyadic MID 4.03,disno 2053,"hihost 4 (use of force); dyads AFG-PAK, AFG-RUS, PAK-AFG, RUS-AFG; 1979-03-26..1982-04-14",
1979-03-28,United States; USSR/Russia; ccode 700; ccode 770,ICB v16,crisno 303,AFGHANISTAN INVASION; 1979-03-28..1980-02-28; viol 3; forout 4,
1979-04-12,France; ccode 483; Libya,ICB v16,crisno 304,CHAD/LIBYA IV; 1979-04-12..1979-11-10; viol 4; forout 4,
1979-06-01,ccode 600; Algeria,ICB v16,crisno 305,GOULIMIME-TARFAYA RD; 1979-06-01..1979-06-25; viol 2; forout 4,
1979-06-27,Syria; Israel,Dyadic MID 4.03,disno 3441,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1979-06-27..1980-02-28",
1979-08-09,United States; USSR/Russia,Dyadic MID 4.03,disno 2224,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1979-08-09..1979-08-10",
1979-08-28,United States; Canada,Dyadic MID 4.03,disno 2968,"hihost 4 (use of force); dyads CAN-USA, USA-CAN; 1979-08-28..1979-08-28",
1979-10-24,Iran; Iraq,Dyadic MID 4.03,disno 2115,"hihost 5 (war); dyads IRN-IRQ, IRQ-IRN; 1979-10-24..1988-07-28",
1979-10-28,Angola,ICB v16,crisno 308,RAID ON ANGOLA; 1979-10-28..1979-11-02; viol 2; forout 6,
1979-11-04,United States; Iran,Dyadic MID 4.03,disno 3020,"hihost 4 (use of force); dyads IRN-USA, USA-IRN; 1979-11-04..1981-01-21",
1979-11-04,United States; Iran,ICB v16,crisno 309,US HOSTAGES IN IRAN; 1979-11-04..1981-01-20; viol 2; forout 1,
1979-11-14,United States; ccode 135,Dyadic MID 4.03,disno 2967,"hihost 4 (use of force); dyads PER-USA, USA-PER; 1979-11-14..1979-11-14",
1979-12-12,ccode 93; Colombia,ICB v16,crisno 310,COLOMBIA/NICARAGUA; 1979-12-12..1981-07-08; viol 1; forout 4,
1980-01-27,ccode 616; Libya,ICB v16,crisno 311,RAID ON GAFSA; 1980-01-27..1980-04-28; viol 3; forout 2,
1980-02-03,Saudi Arabia; Yemen Arab Republic,Dyadic MID 4.03,disno 2152,"hihost 4 (use of force); dyads SAU-YAR, YAR-SAU; 1980-02-03..1980-02-15",
1980-03-22,France; ccode 483; Libya; -8 vs France | Chad vs FAN | Libya vs -8,COW War v4.1 intra-state,WarNum 820,Second Chad (Habre Revolt); 1980-03-22..1984-09-01,
1980-06-07,Angola,ICB v16,crisno 313,OPERATION SMOKESHELL; 1980-06-07..1980-07-02; viol 3; forout 4,
1980-06-11,Libya; Egypt,ICB v16,crisno 314,LIBYA THREAT-SADAT; 1980-06-11..1980-06-28; viol 1; forout 7,
1980-08-14,ccode 265; ccode 290; ccode 315; USSR/Russia,ICB v16,crisno 315,SOLIDARITY; 1980-08-14..1981-12-13; viol 1; forout 4,
