rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
195,B,1966-02-24,Jordan / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3171,,
196,B,1966-04-25,Indonesia / United Kingdom,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2918,,
197,B,1966-05-01,Egypt / Saudi Arabia / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1109,,
198,B,1966-05-23,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2107,,
199,B,1966-07-15,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2921,,
200,B,1966-10-01,United States,First Guatemala,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 770,,
201,B,1966-10-02,China / USSR/Russia,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 343 ; Dyadic MID 4.03|disno 2891,,
202,B,1966-11-12,Israel / Jordan,EL SAMU,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 220,,
203,B,1966-12-16,Egypt / Iraq / Israel / Jordan / Kuwait / Saudi Arabia,hihost 5 (war),1,MID,0,1,1,MID hihost 5,0,Dyadic MID 4.03|disno 1035,,
204,B,1966-12-28,United Kingdom / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2155,,
205,B,1967-01-09,Ecuador / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1805,,
206,B,1967-03-02,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2934,,
207,B,1967-05-18,China / India,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1715,,
208,B,1967-07-06,Nigeria,Biafra,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 775,,
209,B,1967-08-18,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1609,,
210,B,1968-03-18,Israel / Jordan,KARAMEH,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 226,,
211,B,1968-05-12,Israel / Lebanon,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 1051,,
212,B,1968-06-17,Argentina / USSR/Russia / Venezuela,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2922 ; Dyadic MID 4.03|disno 2927,,
213,B,1968-06-28,China / United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2926,,
214,B,1968-07-23,Algeria / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1069,,
215,B,1968-09-03,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3447,,
216,B,1968-09-28,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2925,,
217,B,1969-01-01,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 352,,
218,B,1969-01-03,Iraq,Third Iraqi Kurds,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 777,,
219,B,1969-05-01,Lebanon / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3173,,
220,B,1969-08-09,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2937,,
221,B,1969-09-14,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2108,,
222,B,1969-09-19,China / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2936,,
223,B,1969-10-22,Lebanon,CAIRO AGREEMENT-PLO,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 236,,
224,B,1969-11-05,Saudi Arabia / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2373,,
225,B,1970-01-20,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2109,,
226,B,1970-06-11,Iraq / Israel / Jordan / Syria / USSR/Russia / United Kingdom,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1039,,
227,B,1970-10-21,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2221,,
228,B,1971-01-11,Ecuador / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1158,,
229,B,1971-04-14,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2110,,
230,B,1971-07-03,United States,Khmer Rouge,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 785,,
231,B,1971-07-20,Jordan / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 1081,,
232,B,1971-10-18,Egypt / Iraq / Israel / Jordan / Saudi Arabia / Syria,hihost 5 (war),1,MID,0,1,1,MID hihost 5,0,Dyadic MID 4.03|disno 1046,,
233,B,1971-11-28,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1135,,
234,B,1972-01-17,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2949,,
235,B,1972-03-28,United States,VIETNAM PORTS MINING,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 246,,
236,B,1972-08-22,China / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2948,,
237,B,1972-09-20,Libya,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2138,,
238,B,1972-09-26,Yemen Arab Republic / Yemen People's Republic,NORTH/SOUTH YEMEN I,1,ICB,0,0,1,ICB viol 4,0,ICB v16|crisno 248,,
239,B,1972-12-21,Iran / Iraq / Kuwait / Saudi Arabia,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1612 ; Dyadic MID 4.03|disno 2112,,
240,B,1973-02-10,Iraq,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1200,,
241,B,1973-10-01,Iran / Oman / United Kingdom,Dhofar Rebellion Phase 2,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 795,,
242,B,1973-11-18,Oman,OMAN/SOUTH YEMEN,1,ICB,0,1,1,ICB viol 3,0,ICB v16|crisno 256,,
243,B,1974-03-14,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 364,,
244,B,1974-03-18,Iran / Iraq,Fourth Iraqi Kurds,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 797,,
245,B,1974-04-12,Egypt / Israel / Lebanon,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1061,,
246,B,1974-06-08,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3438,,
247,B,1974-07-15,Turkey,CYPRUS III / Turco-Cypriot,2,COW+ICB,1,0,1,COW inter-state war; ICB viol 4,0,ICB v16|crisno 257 ; COW War v4.0 inter-state|WarNum 184,,
248,B,1974-12-01,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2713,,
249,B,1975-02-01,Argentina,Argentine Leftists,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 800,,
250,B,1975-03-07,Iraq / Kuwait,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1613,,
251,B,1975-05-12,United States,MAYAGUEZ,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 259,,
252,B,1975-07-12,Angola / USSR/Russia / United States,WAR IN ANGOLA,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 260,,
253,B,1975-08-04,Egypt / Libya,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3175,,
254,B,1975-10-16,Algeria,MOROCCAN MARCH,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 261,,
255,B,1975-10-20,China / India,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 358,,
256,B,1975-11-26,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3439,,
257,B,1975-11-28,Indonesia,EAST TIMOR I,1,ICB,0,1,1,ICB viol 3,0,ICB v16|crisno 264,,
258,B,1976-01-01,Indonesia,Second West Papua,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 802,,
259,B,1976-01-18,Syria,LEB. CIVIL WAR,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 265,,
260,B,1976-02-04,Argentina / United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 363,,
261,B,1976-02-13,Angola,Angolan Control,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 804,,
262,B,1976-04-05,Syria / United Kingdom,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3179,,
263,B,1976-04-12,Israel / Saudi Arabia,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2961,,
264,B,1976-07-18,Indonesia,East Timorese War Phase 3,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 806,,
265,B,1976-08-01,China / South Korea,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2956,,
266,B,1976-09-06,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 365,,
267,B,1977-04-09,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2222,,
268,B,1977-06-21,Ecuador,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2120,,
269,B,1977-07-04,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2714,,
270,B,1977-07-22,Ethiopia / Somalia,"OGADEN II / Second Ogaden War, Phase 2",2,COW+ICB,1,0,1,COW inter-state war; ICB viol 4,0,ICB v16|crisno 282 ; COW War v4.0 inter-state|WarNum 187,,
271,B,1977-09-20,Israel / Lebanon,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3994,,
272,B,1977-09-21,Argentina / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3122,,
273,B,1978-01-22,Libya,CHAD/LIBYA II,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 288,,
274,B,1978-03-11,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2715,,
275,B,1978-03-14,Lebanon,LITANI OPERATION,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 289,,
276,B,1978-04-18,China / USSR/Russia,hihost 5 (war),1,MID,0,1,0,MID hihost 5,0,Dyadic MID 4.03|disno 3007,,
277,B,1978-06-21,Iran / USSR/Russia,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2602,,
278,B,1978-07-01,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3440,,
279,B,1978-09-01,USSR/Russia,First Afghan Mujahideen Uprising,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 812,,
280,B,1978-09-03,Iran,Overthrow of the Shah,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 813,,
281,B,1978-12-25,China,SINO/VIETNAM WAR,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 298,,
282,B,1979-02-12,Angola,RAIDS ON SWAPO / RAIDS ON ZIPRA,2,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 300 ; ICB v16|crisno 302,,
283,B,1979-02-24,Yemen Arab Republic / Yemen People's Republic,NORTH/SOUTH YEMEN II,1,ICB,0,0,1,ICB viol 4,0,ICB v16|crisno 301,,
284,B,1979-04-12,France / Libya,CHAD/LIBYA IV,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 304,,
285,B,1979-06-27,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3441,,
286,B,1979-08-09,Canada / USSR/Russia / United States,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2224 ; Dyadic MID 4.03|disno 2968,,
287,B,1980-01-27,Libya,RAID ON GAFSA,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 311,,
288,B,1980-02-03,Saudi Arabia / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2152,,
289,B,1980-03-22,France / Libya,Second Chad (Habre Revolt),1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 820,,
290,B,1980-06-07,Angola,OPERATION SMOKESHELL,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 313,,
291,B,1980-08-24,Israel / Lebanon / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3448,,
292,B,1980-09-07,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2083,,
293,B,1980-10-05,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2717,,
294,B,1980-10-25,Ecuador / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3105,,
295,B,1980-11-13,Iran / Kuwait,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3108,,
296,B,1980-12-18,Nigeria,Nigeria-Muslim,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 823,,
297,B,1981-04-25,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2084,,
298,B,1981-05-05,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3102,,
299,B,1981-05-12,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2228,,
300,B,1981-08-23,Angola,OPERATION PROTEA,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 331,,
301,B,1981-09-21,Iran / Kuwait / Turkey,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3097 ; Dyadic MID 4.03|disno 3095,,
302,B,1982-02-22,Jordan / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3106,,
303,B,1982-03-08,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2975,,
304,B,1982-03-22,Iraq,KHORRAMSHAHR,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 335,,
305,B,1982-04-11,Israel / Lebanon / Syria,War over Lebanon / hihost 5 (war),2,COW+MID,1,0,1,COW inter-state war; MID hihost 5,0,Dyadic MID 4.03|disno 3995 ; COW War v4.0 inter-state|WarNum 205,,
306,B,1982-06-05,Israel / Lebanon / Syria,WAR IN LEBANON,1,ICB,0,0,1,ICB viol 4,0,ICB v16|crisno 337,,
307,B,1982-06-23,Japan / USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2229,,
308,B,1982-06-28,Ethiopia / Somalia,OGADEN III,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 338,,
309,B,1982-07-13,Colombia / Venezuela,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2323,,
310,B,1982-10-04,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3442,,
311,B,1983-02-26,Iran / United States,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3071,,
312,B,1983-04-10,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3614,,
313,B,1983-04-16,Brazil / Libya,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3068,,
314,B,1983-04-18,France / Lebanon / United States,Fourth Lebanese Civil,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 833,,
315,B,1983-04-18,Nigeria,CHAD/NIGERIA CLASHES,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 341,,
316,B,1983-04-27,Iran / Norway / USSR/Russia,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3067 ; Dyadic MID 4.03|disno 2590,,
317,B,1983-08-16,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3385,,
318,B,1983-09-01,South Korea / USSR/Russia,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3063 ; Dyadic MID 4.03|disno 2054,,
319,B,1983-09-03,Syria / United States,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3062,,
320,B,1983-10-19,United States,INVASION OF GRENADA,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 343,,
321,B,1983-12-06,Angola,OPERATION ASKARI,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 347,,
322,B,1983-12-28,Saudi Arabia / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3054,,
323,B,1984-01-14,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3639,,
324,B,1984-01-15,Ecuador,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2118,,
325,B,1984-04-02,China,SINO/VIETNAM CLASHES,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 352,,
326,B,1984-04-26,Bahrain / Iran / Kuwait / Oman / Qatar / Saudi Arabia,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3048 ; Dyadic MID 4.03|disno 3617,,
327,B,1984-06-03,Iraq / Turkey,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3045,,
328,B,1984-07-10,Iran / United Kingdom,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3042,,
329,B,1984-08-22,France / Libya,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3041,,
330,B,1984-09-12,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2230,,
331,B,1984-10-19,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2087,,
332,B,1985-01-01,Iran / Iraq,Fifth Iraqi  Kurds,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 840,,
333,B,1985-01-09,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3622,,
334,B,1985-02-19,Iran / Iraq / Kuwait / Saudi Arabia / United Kingdom,hihost 4 (use of force),4,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3029 ; Dyadic MID 4.03|disno 2554 ; Dyadic MID 4.03|disno 2553 ; Dyadic MID 4.03|disno 2551,,
335,B,1985-03-22,China / South Korea,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2550,,
336,B,1985-03-24,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2232,,
337,B,1985-06-13,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3443,,
338,B,1985-07-10,Iraq / Turkey,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2545,,
339,B,1985-12-01,China / India,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2102,,
340,B,1986-04-06,Iran / Saudi Arabia,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2574,,
341,B,1986-05-28,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2579,,
342,B,1986-07-12,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2718,,
343,B,1986-08-26,Bahrain / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2565,,
