rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
426,C,1978-02-01,Israel / Syria,Third Lebanese,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 807,,
427,C,1978-03-10,Ethiopia / Somalia,Second Ogaden Phase 3,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 808,,
428,C,1978-10-16,Argentina,BEAGLE CHANNEL II,1,ICB,0,1,0,,0,ICB v16|crisno 295,,
429,C,1978-11-07,Angola,ANGOLA INVASION SCARE,1,ICB,0,1,0,,0,ICB v16|crisno 297,,
430,C,1979-06-01,Algeria,GOULIMIME-TARFAYA RD,1,ICB,0,1,0,,0,ICB v16|crisno 305,,
431,C,1979-10-28,Angola,RAID ON ANGOLA,1,ICB,0,1,0,,0,ICB v16|crisno 308,,
432,C,1979-12-12,Colombia,COLOMBIA/NICARAGUA,1,ICB,0,1,0,,0,ICB v16|crisno 310,,
433,C,1980-06-11,Egypt / Libya,LIBYA THREAT-SADAT,1,ICB,0,1,1,,0,ICB v16|crisno 314,,
434,C,1980-08-14,USSR/Russia,SOLIDARITY,1,ICB,0,1,0,,0,ICB v16|crisno 315,,
435,C,1980-11-25,Jordan,JORDAN/SYRIA CONFRNT.,1,ICB,0,0,1,,0,ICB v16|crisno 319,,
436,C,1980-12-05,Ethiopia / Somalia,E. AFRICA CONFRONT.,1,ICB,0,0,1,,0,ICB v16|crisno 320,,
437,C,1981-01-01,Iraq / Israel,IRAQ NUCLEAR REACTOR,1,ICB,0,1,1,,0,ICB v16|crisno 324,,
438,C,1981-01-06,France / Libya,CHAD/LIBYA V,1,ICB,0,1,0,,0,ICB v16|crisno 321,,
439,C,1981-04-04,Venezuela,ESSEQUIBO II,1,ICB,0,1,0,,0,ICB v16|crisno 325,,
440,C,1981-04-28,Israel / Syria,AL-BIQA MISSILES I,1,ICB,0,0,1,,0,ICB v16|crisno 327,,
441,C,1981-05-15,Nigeria,CAMEROON/NIGERIA I,1,ICB,0,1,0,,0,ICB v16|crisno 328,,
442,C,1981-07-07,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2639,,
443,C,1981-10-28,USSR/Russia,U-137 INCIDENT,1,ICB,0,1,0,,0,ICB v16|crisno 333,,
444,C,1981-11-01,Syria,Hama,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 825,,
445,C,1981-12-13,Bahrain / Saudi Arabia,COUP ATTEMPT IN BAHRAIN,1,ICB,0,1,1,,0,ICB v16|crisno 334,,
446,C,1982-01-15,Japan,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 3612,,
447,C,1982-01-23,Ethiopia,Tigrean and Eritrean,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 826,,
448,C,1982-04-24,Japan / South Korea,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2974,,
449,C,1983-02-11,Egypt / Libya,LIBYA THREAT/SUDAN,1,ICB,0,1,1,,0,ICB v16|crisno 340,,
450,C,1983-07-25,India,First Sri Lanka Tamil,1,COW,0,0,0,,0,COW War v4.1 intra-state|WarNum 835,,
451,C,1983-10-20,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2641,,
452,C,1983-11-02,USSR/Russia,ABLE ARCHER 83,1,ICB,0,1,0,,0,ICB v16|crisno 344,,
453,C,1984-06-01,India,Indian Golden Temple / hihost 4 (use of force),2,COW+MID,1,0,0,MID hihost 4,0,COW War v4.1 intra-state|WarNum 837 ; Dyadic MID 4.03|disno 2642,,
454,C,1984-08-14,Turkey,First Turkish Kurds,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 838,,
455,C,1984-11-06,United States,NICARAGUA MIG-21S,1,ICB,0,1,0,,0,ICB v16|crisno 354,,
456,C,1985-01-17,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2643,,
457,C,1985-11-19,Israel / Syria,AL-BIQA MISSILES II,1,ICB,0,0,1,,0,ICB v16|crisno 357,,
458,C,1985-11-23,Egypt / Libya,EGYPT AIR HIJACKING,1,ICB,0,1,1,,0,ICB v16|crisno 358,,
459,C,1986-01-13,Yemen People's Republic,South Yemen,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 842,,
460,C,1986-03-24,Libya / United States,GULF OF SYRTE II,1,ICB,0,1,0,,0,ICB v16|crisno 363,,
461,C,1986-10-14,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2644,,
